word,freq,year
것을,0.5383096419338788,1940
한숨이,0.5372729385013517,1940
이랴,0.5365782089448813,1940
끝없는,0.534199782003153,1940
아아,0.5314289775473582,1940
사람끼리,0.5288398750373854,1940
신의주,0.5278970434743383,1940
당신은,0.5269224441474292,1940
알뜰한,0.5269224441474292,1940
하염없이,0.5249967387753345,1940
응,0.5243292494212055,1940
깊이,0.5241122759045597,1940
아가씨야,0.5240916070113605,1940
세월,0.5239515069117386,1940
노래가,0.5224960297375116,1940
버드나무,0.5224734416686266,1940
남쪽,0.5219960859267943,1940
곳에,0.5218422619929638,1940
곳,0.5209957430860372,1940
돌아가는,0.5206343792042066,1940
강남,0.520470237208765,1940
휘파람만,0.5191124338435322,1940
불었소,0.5191124338435322,1940
달이,0.5189601552738929,1940
물위에,0.5170932628828216,1940
