단어,빈도,category
멈출,7.131595536934287,신나는
이게,7.130434552204185,신나는
너로,7.122364024399666,신나는
빛나는,7.122216600072689,신나는
여긴,7.095335896903213,신나는
필요,7.087835507052601,신나는
눈물이,7.082945456580621,신나는
노래,7.066453760339232,신나는
얼마나,7.054768983346216,신나는
여자,7.006321574573104,신나는
없지,6.999617768661596,신나는
끝이,6.9921666558724995,신나는
미친,6.964473879261616,신나는
숨이,6.887319269565392,신나는
것도,6.851285063576685,신나는
잡고,6.846858531266059,신나는
몰래,6.831214334541172,신나는
따윈,6.812390915554059,신나는
혹시,6.811014027083113,신나는
없게,6.802695329507393,신나는
내겐,6.800576801677848,신나는
너란,6.791508397290895,신나는
여름,6.784060408388827,신나는
밤을,6.710263659751462,신나는
아직도,6.699368979208586,신나는
우리가,6.688718513830802,신나는
너야,6.66823575802408,신나는
진짜,6.6312178270617474,신나는
가슴,6.6296253497027156,신나는
걸어,6.60687292000549,신나는
마지막,6.599813398723863,신나는
들어,6.596902353626617,신나는
어디든,6.587867205543722,신나는
멈추지,6.580822003987776,신나는
만큼,6.562067969134024,신나는
기다려,6.547844028388833,신나는
안아줘,6.536158186815831,신나는
몇,6.528016784048553,신나는
옆에,6.518921715317257,신나는
아무것도,6.4963717633167395,신나는
느껴,6.459181734083902,신나는
잡아,6.452455660225349,신나는
누구도,6.452061757682139,신나는
해줘,6.4411291158299155,신나는
뜨겁게,6.427115879519033,신나는
깨워,6.393515829388064,신나는
내게로,6.390432457858085,신나는
긴,6.382492324068945,신나는
나나나,6.36779080639763,신나는
시작해,6.354565885863159,신나는
그때,6.34291064269187,신나는
모두가,6.300788939807053,신나는
심장이,6.297920502865157,신나는
되어,6.293564988209929,신나는
돌아,6.290536029070928,신나는
살짝,6.284205945429602,신나는
세상이,6.255992237170203,신나는
믿어,6.225223913547953,신나는
품에,6.1906752287542615,신나는
결국,6.17530316538715,신나는
몸을,6.156331584374509,신나는
구름,6.1557389574190085,신나는
모르는,6.106743753633831,신나는
막,6.10479988406488,신나는
어딜,6.045393093700895,신나는
하얀,6.027110605218363,신나는
맘대로,6.009894386475574,신나는
먼저,6.007077410757858,신나는
가고,5.965871006549991,신나는
줄게,5.952051118100287,신나는
생각해,5.924244657320428,신나는
던져,5.921825131249865,신나는
느낌이,5.893156390077884,신나는
오늘밤,5.876566111135704,신나는
뛰어,5.866888804327227,신나는
아니면,5.852844288513628,신나는
누구보다,5.840301027608778,신나는
눈부신,5.81578108779206,신나는
푸른,5.814177009435566,신나는
끝에,5.800270380634368,신나는
뭐가,5.796608374691533,신나는
않은,5.793947002189229,신나는
이상,5.7896861652829426,신나는
걸까,5.77529186206606,신나는
속에서,5.771227763034415,신나는
없잖아,5.765772851014101,신나는
예뻐,5.760094852141072,신나는
어쩌면,5.756318955047462,신나는
완전,5.734136799577166,신나는
두고,5.709367920403515,신나는
따라와,5.704689371309095,신나는
우리는,5.687615329175074,신나는
없을,5.6843758079611195,신나는
시간은,5.681491122514304,신나는
딴,5.67668163259128,신나는
그리,5.655130004663567,신나는
맞춰,5.649309201513853,신나는
천천히,5.622184037116382,신나는
어느새,5.6186492339574166,신나는
하늘을,5.615546240830433,신나는
듯한,5.610759557153085,신나는
아는,5.609363629410542,신나는
아니,5.606577741185439,신나는
나야,5.605048466401719,신나는
된,5.60304784639727,신나는
남자,5.588454441453663,신나는
왠지,5.568378766068432,신나는
보며,5.56187537345429,신나는
봐봐,5.5608613361439305,신나는
있을,5.554356457842069,신나는
더는,5.552192912493609,신나는
손에,5.515379008683452,신나는
버려,5.5145649672970505,신나는
숨을,5.48773994845725,신나는
시간을,5.4874678506967705,신나는
아름다워,5.480757767127164,신나는
가슴에,5.478414556334321,신나는
낯선,5.474916947571461,신나는
대체,5.472163016848828,신나는
깊은,5.471200192857536,신나는
있는데,5.46756406591485,신나는
